title,source,url,published_at,published,authors,abstract,raw_topics,relevance_score,quality_score,keep,notes
Systematic Benchmarking of SUMO Against Data-Driven Traffic Simulators,arxiv,https://arxiv.org/abs/2512.18537v1,2025-12-20T23:26:14Z,2025-12-20,Erdao Liang,"This paper presents a systematic benchmarking of the model-based microscopic traffic simulator SUMO against state-of-the-art data-driven traffic simulators using large-scale real-world datasets. Using the Waymo Open Motion Dataset (WOMD) and the Waymo Open Sim Agents Challenge (WOSAC), we evaluate SUMO under both short-horizon (8s) and long-horizon (60s) closed-loop simulation settings. To enable scalable evaluation, we develop Waymo2SUMO, an automated pipeline that converts WOMD scenarios into SUMO simulations. On the WOSAC benchmark, SUMO achieves a realism meta metric of 0.653 while requiring fewer than 100 tunable parameters. Extended rollouts show that SUMO maintains low collision and offroad rates and exhibits stronger long-horizon stability than representative data-driven simulators. These results highlight complementary strengths of model-based and data-driven approaches for autonomous driving simulation and benchmarking.",wosac; waymo open sim agents challenge; sim agents; driving simulation; closed-loop; offroad; collision; waymo; autonomous driving,41,9,True,"direct simulation keyword match | mentions Waymo | mentions closed-loop evaluation | mentions simulation safety metrics | quality hint: benchmark | quality hint: evaluation | quality hint: dataset | quality hint: simulator | quality hint: offroad | quality hint: collision | arXiv preprint accepted by preference | matched query: all:""WOSAC"""
Advancing Multi-agent Traffic Simulation via R1-Style Reinforcement Fine-Tuning,arxiv,https://arxiv.org/abs/2509.23993v2,2025-09-28T17:36:13Z,2025-09-28,Muleilan Pei; Shaoshuai Shi; Shaojie Shen,"Scalable and realistic simulation of multi-agent traffic behavior is critical for advancing autonomous driving technologies. Although existing data-driven simulators have made significant strides in this domain, they predominantly rely on supervised learning to align simulated distributions with real-world driving scenarios. A persistent challenge, however, lies in the distributional shift that arises between training and testing, which often undermines model generalization in unseen environments. To address this limitation, we propose SMART-R1, a novel R1-style reinforcement fine-tuning paradigm tailored for next-token prediction models to better align agent behavior with human preferences and evaluation metrics. Our approach introduces a metric-oriented policy optimization algorithm to improve distribution alignment and an iterative ""SFT-RFT-SFT"" training strategy that alternates between Supervised Fine-Tuning (SFT) and Reinforcement Fine-Tuning (RFT) to maximize performance gains. Extensive experiments on the large-scale Waymo Open Motion Dataset (WOMD) validate the effectiveness of this simple yet powerful R1-style training framework in enhancing foundation models. The results on the Waymo Open Sim Agents Challenge (WOSAC) showcase that SMART-R1 achieves state-of-the-art performance with an overall realism meta score of 0.7858, ranking first on the leaderboard at the time of submission.",wosac; waymo open sim agents challenge; sim agents; traffic simulation; waymo; autonomous driving,32,9,True,"direct simulation keyword match | mentions Waymo | quality hint: leaderboard | quality hint: evaluation | quality hint: experiment | quality hint: dataset | quality hint: simulator | arXiv preprint accepted by preference | matched query: all:""WOSAC"""
TrafficBots V1.5: Traffic Simulation via Conditional VAEs and Transformers with Relative Pose Encoding,arxiv,https://arxiv.org/abs/2406.10898v1,2024-06-16T11:20:49Z,2024-06-16,Zhejun Zhang; Christos Sakaridis; Luc Van Gool,"In this technical report we present TrafficBots V1.5, a baseline method for the closed-loop simulation of traffic agents. TrafficBots V1.5 achieves baseline-level performance and a 3rd place ranking in the Waymo Open Sim Agents Challenge (WOSAC) 2024. It is a simple baseline that combines TrafficBots, a CVAE-based multi-agent policy conditioned on each agent's individual destination and personality, and HPTR, the heterogeneous polyline transformer with relative pose encoding. To improve the performance on the WOSAC leaderboard, we apply scheduled teacher-forcing at the training time and we filter the sampled scenarios at the inference time. The code is available at https://github.com/zhejz/TrafficBotsV1.5.",wosac; waymo open sim agents challenge; sim agents; traffic simulation; closed-loop; waymo,35,5,True,"direct simulation keyword match | mentions Waymo | mentions closed-loop evaluation | quality hint: leaderboard | quality hint: code | quality hint: github | arXiv preprint accepted by preference | matched query: all:""WOSAC"""
SceneDiffuser: Efficient and Controllable Driving Simulation Initialization and Rollout,arxiv,https://arxiv.org/abs/2412.12129v1,2024-12-05T18:06:53Z,2024-12-05,Chiyu Max Jiang; Yijing Bai; Andre Cornman; Christopher Davis; Xiukun Huang; Hong Jeon; Sakshum Kulshrestha; John Lambert; Shuangyu Li; Xuanyu Zhou; Carlos Fuertes; Chang Yuan; Mingxing Tan; Yin Zhou; Dragomir Anguelov,"Realistic and interactive scene simulation is a key prerequisite for autonomous vehicle (AV) development. In this work, we present SceneDiffuser, a scene-level diffusion prior designed for traffic simulation. It offers a unified framework that addresses two key stages of simulation: scene initialization, which involves generating initial traffic layouts, and scene rollout, which encompasses the closed-loop simulation of agent behaviors. While diffusion models have been proven effective in learning realistic and multimodal agent distributions, several challenges remain, including controllability, maintaining realism in closed-loop simulations, and ensuring inference efficiency. To address these issues, we introduce amortized diffusion for simulation. This novel diffusion denoising paradigm amortizes the computational cost of denoising over future simulation steps, significantly reducing the cost per rollout step (16x less inference steps) while also mitigating closed-loop errors. We further enhance controllability through the introduction of generalized hard constraints, a simple yet effective inference-time constraint mechanism, as well as language-based constrained scene generation via few-shot prompting of a large language model (LLM). Our investigations into model scaling reveal that increased computational resources significantly improve overall simulation realism. We demonstrate the effectiveness of our approach on the Waymo Open Sim Agents Challenge, achieving top open-loop performance and the best closed-loop performance among diffusion models.",waymo open sim agents challenge; sim agents; traffic simulation; driving simulation; closed-loop; diffusion; waymo,35,1,True,"direct simulation keyword match | mentions Waymo | mentions closed-loop evaluation | arXiv preprint accepted by preference | matched query: all:""Waymo Open Sim Agents Challenge"""
MDG: Masked Denoising Generation for Multi-Agent Behavior Modeling in Traffic Environments,arxiv,https://arxiv.org/abs/2511.17496v1,2025-11-21T18:53:11Z,2025-11-21,Zhiyu Huang; Zewei Zhou; Tianhui Cai; Yun Zhang; Jiaqi Ma,"Modeling realistic and interactive multi-agent behavior is critical to autonomous driving and traffic simulation. However, existing diffusion and autoregressive approaches are limited by iterative sampling, sequential decoding, or task-specific designs, which hinder efficiency and reuse. We propose Masked Denoising Generation (MDG), a unified generative framework that reformulates multi-agent behavior modeling as the reconstruction of independently noised spatiotemporal tensors. Instead of relying on diffusion time steps or discrete tokenization, MDG applies continuous, per-agent and per-timestep noise masks that enable localized denoising and controllable trajectory generation in a single or few forward passes. This mask-driven formulation generalizes across open-loop prediction, closed-loop simulation, motion planning, and conditional generation within one model. Trained on large-scale real-world driving datasets, MDG achieves competitive closed-loop performance on the Waymo Sim Agents and nuPlan Planning benchmarks, while providing efficient, consistent, and controllable open-loop multi-agent trajectory generation. These results position MDG as a simple yet versatile paradigm for multi-agent behavior modeling.",waymo sim agents; sim agents; traffic simulation; closed-loop; diffusion; waymo; autonomous driving,30,4,True,"direct simulation keyword match | mentions Waymo | mentions closed-loop evaluation | quality hint: benchmark | quality hint: dataset | arXiv preprint accepted by preference | matched query: all:""Waymo sim agents"""
Promptable Closed-loop Traffic Simulation,arxiv,https://arxiv.org/abs/2409.05863v1,2024-09-09T17:59:15Z,2024-09-09,Shuhan Tan; Boris Ivanovic; Yuxiao Chen; Boyi Li; Xinshuo Weng; Yulong Cao; Philipp Krähenbühl; Marco Pavone,"Simulation stands as a cornerstone for safe and efficient autonomous driving development. At its core a simulation system ought to produce realistic, reactive, and controllable traffic patterns. In this paper, we propose ProSim, a multimodal promptable closed-loop traffic simulation framework. ProSim allows the user to give a complex set of numerical, categorical or textual prompts to instruct each agent's behavior and intention. ProSim then rolls out a traffic scenario in a closed-loop manner, modeling each agent's interaction with other traffic participants. Our experiments show that ProSim achieves high prompt controllability given different user prompts, while reaching competitive performance on the Waymo Sim Agents Challenge when no prompt is given. To support research on promptable traffic simulation, we create ProSim-Instruct-520k, a multimodal prompt-scenario paired driving dataset with over 10M text prompts for over 520k real-world driving scenarios. We will release code of ProSim as well as data and labeling tools of ProSim-Instruct-520k at https://ariostgx.github.io/ProSim.",waymo sim agents; sim agents; traffic simulation; closed-loop; waymo; autonomous driving,28,6,True,"direct simulation keyword match | mentions Waymo | mentions closed-loop evaluation | quality hint: experiment | quality hint: code | quality hint: github | quality hint: dataset | arXiv preprint accepted by preference | matched query: all:""Waymo sim agents"""
RoaD: Rollouts as Demonstrations for Closed-Loop Supervised Fine-Tuning of Autonomous Driving Policies,arxiv,https://arxiv.org/abs/2512.01993v1,2025-12-01T18:52:03Z,2025-12-01,Guillermo Garcia-Cobo; Maximilian Igl; Peter Karkus; Zhejun Zhang; Michael Watson; Yuxiao Chen; Boris Ivanovic; Marco Pavone,"Autonomous driving policies are typically trained via open-loop behavior cloning of human demonstrations. However, such policies suffer from covariate shift when deployed in closed loop, leading to compounding errors. We introduce Rollouts as Demonstrations (RoaD), a simple and efficient method to mitigate covariate shift by leveraging the policy's own closed-loop rollouts as additional training data. During rollout generation, RoaD incorporates expert guidance to bias trajectories toward high-quality behavior, producing informative yet realistic demonstrations for fine-tuning. This approach enables robust closed-loop adaptation with orders of magnitude less data than reinforcement learning, and avoids restrictive assumptions of prior closed-loop supervised fine-tuning (CL-SFT) methods, allowing broader applications domains including end-to-end driving. We demonstrate the effectiveness of RoaD on WOSAC, a large-scale traffic simulation benchmark, where it performs similar or better than the prior CL-SFT method; and in AlpaSim, a high-fidelity neural reconstruction-based simulator for end-to-end driving, where it improves driving score by 41\% and reduces collisions by 54\%.",wosac; traffic simulation; closed-loop; closed loop; collision; autonomous driving,28,5,True,"direct simulation keyword match | mentions closed-loop evaluation | mentions simulation safety metrics | quality hint: benchmark | quality hint: simulator | quality hint: collision | arXiv preprint accepted by preference | matched query: all:""WOSAC"""
SPACeR: Self-Play Anchoring with Centralized Reference Models,arxiv,https://arxiv.org/abs/2510.18060v2,2025-10-20T19:53:02Z,2025-10-20,Wei-Jer Chang; Akshay Rangesh; Kevin Joseph; Matthew Strong; Masayoshi Tomizuka; Yihan Hu; Wei Zhan,"Developing autonomous vehicles (AVs) requires not only safety and efficiency, but also realistic, human-like behaviors that are socially aware and predictable. Achieving this requires sim agent policies that are human-like, fast, and scalable in multi-agent settings. Recent progress in imitation learning with large diffusion-based or tokenized models has shown that behaviors can be captured directly from human driving data, producing realistic policies. However, these models are computationally expensive, slow during inference, and struggle to adapt in reactive, closed-loop scenarios. In contrast, self-play reinforcement learning (RL) scales efficiently and naturally captures multi-agent interactions, but it often relies on heuristics and reward shaping, and the resulting policies can diverge from human norms. We propose SPACeR, a framework that leverages a pretrained tokenized autoregressive motion model as a centralized reference policy to guide decentralized self-play. The reference model provides likelihood rewards and KL divergence, anchoring policies to the human driving distribution while preserving RL scalability. Evaluated on the Waymo Sim Agents Challenge, our method achieves competitive performance with imitation-learned policies while being up to 10x faster at inference and 50x smaller in parameter size than large generative models. In addition, we demonstrate in closed-loop ego planning evaluation tasks that our sim agents can effectively measure planner quality with fast and scalable traffic simulation, establishing a new paradigm for testing autonomous driving policies.",waymo sim agents; sim agents; traffic simulation; closed-loop; diffusion; waymo; autonomous driving,30,3,True,"direct simulation keyword match | mentions Waymo | mentions closed-loop evaluation | quality hint: evaluation | arXiv preprint accepted by preference | matched query: all:""Waymo sim agents"""
Multiverse Transformer: 1st Place Solution for Waymo Open Sim Agents Challenge 2023,arxiv,https://arxiv.org/abs/2306.11868v1,2023-06-20T20:01:07Z,2023-06-20,Yu Wang; Tiebiao Zhao; Fan Yi,"This technical report presents our 1st place solution for the Waymo Open Sim Agents Challenge (WOSAC) 2023. Our proposed MultiVerse Transformer for Agent simulation (MVTA) effectively leverages transformer-based motion prediction approaches, and is tailored for closed-loop simulation of agents. In order to produce simulations with a high degree of realism, we design novel training and sampling methods, and implement a receding horizon prediction mechanism. In addition, we introduce a variable-length history aggregation method to mitigate the compounding error that can arise during closed-loop autoregressive execution. On the WOSAC, our MVTA and its enhanced version MVTE reach a realism meta-metric of 0.5091 and 0.5168, respectively, outperforming all the other methods on the leaderboard.",wosac; waymo open sim agents challenge; sim agents; closed-loop; waymo,29,3,True,"direct simulation keyword match | mentions Waymo | mentions closed-loop evaluation | quality hint: leaderboard | arXiv preprint accepted by preference | matched query: all:""WOSAC"""
Improving Agent Behaviors with RL Fine-tuning for Autonomous Driving,arxiv,https://arxiv.org/abs/2409.18343v1,2024-09-26T23:40:33Z,2024-09-26,Zhenghao Peng; Wenjie Luo; Yiren Lu; Tianyi Shen; Cole Gulino; Ari Seff; Justin Fu,"A major challenge in autonomous vehicle research is modeling agent behaviors, which has critical applications including constructing realistic and reliable simulations for off-board evaluation and forecasting traffic agents motion for onboard planning. While supervised learning has shown success in modeling agents across various domains, these models can suffer from distribution shift when deployed at test-time. In this work, we improve the reliability of agent behaviors by closed-loop fine-tuning of behavior models with reinforcement learning. Our method demonstrates improved overall performance, as well as improved targeted metrics such as collision rate, on the Waymo Open Sim Agents challenge. Additionally, we present a novel policy evaluation benchmark to directly assess the ability of simulated agents to measure the quality of autonomous vehicle planners and demonstrate the effectiveness of our approach on this new benchmark.",waymo open sim agents challenge; sim agents; closed-loop; collision; waymo; autonomous driving,25,6,True,"direct simulation keyword match | mentions Waymo | mentions closed-loop evaluation | mentions simulation safety metrics | quality hint: benchmark | quality hint: evaluation | quality hint: collision | arXiv preprint accepted by preference | matched query: all:""Waymo Open Sim Agents Challenge"""
